index,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
Brooklyn,Deuces Wild,Supporting Characters,Samsara,Annie Hall,London,The Godfather: Part II,Laws of Attraction,"Synecdoche, New York",An American in Hollywood,Nighthawks
Barry Lyndon,Bee Movie,Dinner for Schmucks,Barry Munday,Red Riding: In the Year of Our Lord 1974,Guiana 1838,Eragon,The Man with the Iron Fists,Sleepers,The White Ribbon,An Everlasting Piece
Out Cold,Journey to the Center of the Earth,Roadside,Brokeback Mountain,Snow Dogs,Wrong Turn,127 Hours,The Brothers,Tycoon,September Dawn,The Hobbit: An Unexpected Journey
The Ladies Man,The Midnight Meat Train,Zookeeper,I Still Know What You Did Last Summer,The Omen,Frida,The Business of Strangers,Vampire in Brooklyn,Zero Effect,Extract,Shadow Conspiracy
Quartet,The Poker House,Why Did I Get Married Too?,Let's Kill Ward's Wife,The Oogieloves in the Big Balloon Adventure,Seed of Chucky,Marley & Me,Rosewater,The Crew,They Will Have to Kill Us First,Mo' Better Blues
Tomcats,The Switch,The Notebook,Sunshine,The Cable Guy,Dutch Kills,Wild Card,American Graffiti,Two Brothers,A Lot Like Love,Halloween: The Curse of Michael Myers
Frailty,The X Files: I Want to Believe,Max Payne,The Oxford Murders,Take Shelter,Switchback,Suspect Zero,American Hustle,Mercury Rising,Resurrecting the Champ,The Punisher
Woman in Gold,Schindler's List,Inglourious Basterds,The Railway Man,U-571,Black Book,Proud,Red Tails,Memoirs of a Geisha,Enemy at the Gates,The Great Escape
Kinsey,The Boy Next Door,The Call of Cthulhu,I Origins,Stir of Echoes,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Self/less,Tomorrowland,The Conspirator,Wal-Mart: The High Cost of Low Price,Steve Jobs
Army of Darkness,Timecrimes,The Visitors,Arachnophobia,The Holiday,Camping Sauvage,Toy Story 3,The Young Messiah,Straight A's,The Emperor's New Groove,Apocalypto
Slackers,Frat Party,Hearts in Atlantis,Exam,Steppin: The Movie,The Invention of Lying,College,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",American Graffiti,Chasing Amy,Loser
What's Eating Gilbert Grape,40 Days and 40 Nights,Samantha: An American Girl Holiday,Eat Pray Love,One True Thing,Fight Club,The Savages,Topsy-Turvy,In the Land of Women,Prom,Tae Guk Gi: The Brotherhood of War
The Visual Bible: The Gospel of John,The Young Messiah,The Robe,The Passion of the Christ,The Greatest Story Ever Told,The Last Temptation of Christ,The R.M.,Wicker Park,Project X,8: The Mormon Proposition,Stigmata
Vera Drake,Fifty Shades of Black,V for Vendetta,Gracie,Saving Face,GoldenEye,Brooklyn,"Hail, Caesar!",Where the Truth Lies,Taxi to the Dark Side,The Holiday
The Guru,Somewhere,Rock of Ages,In Dreams,Mulholland Drive,The Pirate,Grindhouse,Robots,Turbo,The Deported,Half Baked
The Perez Family,Saving Private Perez,Aberdeen,Evita,Jane Got a Gun,The Pallbearer,Smoke Signals,Don Juan DeMarco,The Other Woman,Sea of Love,The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It
Inside Llewyn Davis,Morvern Callar,Pootie Tang,Imaginary Heroes,Friends with Money,Ender's Game,She's Gotta Have It,Nowhere Boy,Sorcerer,Scott Walker: 30 Century Man,Grace of Monaco
O,He Got Game,Romeo + Juliet,Richard III,Just Wright,Get Over It,Michael Jordan to the Max,The Tempest,Semi-Pro,Juwanna Mann,Shakespeare in Love
Return to the Blue Lagoon,Six Days Seven Nights,Swept Away,In the Name of the King III,Deep Rising,The Naked Ape,The Patriot,Gone with the Wind,Return to Never Land,The Lawnmower Man,8MM
The Molly Maguires,The Wind That Shakes the Barley,How Green Was My Valley,Michael Collins,Ronin,The Specials,Ondine,Pale Rider,The Departed,Mississippi Mermaid,Bill & Ted's Excellent Adventure
Romance & Cigarettes,The Deer Hunter,The Dilemma,Metropolis,The Corruptor,Baby Mama,Thank You for Smoking,Men of War,Are We There Yet?,Middle of Nowhere,Brokedown Palace
Copying Beethoven,Anna and the King,Another Earth,Leap Year,Ida,Freaky Friday,The Doors,The Innkeepers,Mozart's Sister,Birth,Anna Karenina
Brighton Rock,Liar Liar,Yentl,The Fall of the Roman Empire,Final Destination,The Virgin Suicides,The Texas Chain Saw Massacre,Light from the Darkroom,Never Again,The Veil,Dreamgirls
Saw V,Saw VI,Saw IV,Saw II,Saw: The Final Chapter,Punisher: War Zone,Coffee Town,Julie & Julia,Saw III,The Gift,Righteous Kill
LOL,Confessions of a Teenage Drama Queen,Run Lola Run,Welcome to the Rileys,Bachelorette,Johnson Family Vacation,The Party's Over,Nine Dead,The Loved Ones,Pokémon: Spell of the Unknown,Anne of Green Gables
Jindabyne,Ondine,The Perfect Storm,House at the End of the Street,The Face of an Angel,Bill & Ted's Excellent Adventure,The Trouble with Harry,30 Days of Night,The Claim,Twixt,All Good Things
An Ideal Husband,Monty Python and the Holy Grail,A Knight's Tale,A Man for All Seasons,The Ghost and the Darkness,The Wicked Lady,Licence to Kill,The Edge,The Next Best Thing,Elizabeth,Robin Hood
The Last Days on Mars,Mission to Mars,The Martian,Abandoned,Old School,Anacondas: The Hunt for the Blood Orchid,Eight Below,Star Trek III: The Search for Spock,Apollo 13,Apollo 18,Journey to Saturn
Darkness,Out of the Dark,Insidious: Chapter 3,Sinister,The Cottage,Don't Be Afraid of the Dark,Queen Crab,When the Lights Went Out,Snow White: A Deadly Summer,Green Lantern,Supernova
2001: A Space Odyssey,The Hadza:  Last of the First,Signs,"20,000 Leagues Under the Sea",The Evil Dead,Space Battleship Yamato,Beneath Hill 60,Hackers,The Thirteenth Floor,Despicable Me 2,The Adventures of Pluto Nash
E.T. the Extra-Terrestrial,Scary Movie 4,My Date with Drew,Quigley Down Under,A Christmas Story,Aliens vs Predator: Requiem,Impostor,The Darkest Hour,Barnyard,Area 51,Birth
In the Land of Women,The Savages,Happy Christmas,One True Thing,Sense and Sensibility,Lovely & Amazing,What's Eating Gilbert Grape,Eternal Sunshine of the Spotless Mind,Get Carter,Volver,Evolution
The Blue Butterfly,Ghost Rider: Spirit of Vengeance,Growing Up Smith,Savva. Heart of the Warrior,The 33,Find Me Guilty,The Indian in the Cupboard,Hachi: A Dog's Tale,The Last Sin Eater,The Haunting in Connecticut 2: Ghosts of Georgia,Little Boy
There Goes My Baby,College,Better Luck Tomorrow,Project X,River's Edge,Cry_Wolf,High School Musical 3: Senior Year,Fast Times at Ridgemont High,Bran Nue Dae,Moonrise Kingdom,Valentine's Day
Housefull,Welcome to Collinwood,Frozen,Serendipity,Holes,Good Luck Chuck,Spirit: Stallion of the Cimarron,Ondine,Fabled,Forrest Gump,The Time Traveler's Wife
September Dawn,127 Hours,This Is England,The New World,Naturally Native,The Charge of the Light Brigade,Out Cold,Re-Kill,Our Brand Is Crisis,The Last of the Mohicans,Boynton Beach Club
For Greater Glory - The True Story of Cristiada,Area 51,Mercury Rising,Higher Ground,Unbroken,The Hunger Games: Mockingjay - Part 1,Get on Up,Æon Flux,Walk the Line,The Duchess,Circumstance
Good Will Hunting,Mr. Peabody & Sherman,Ed and His Dead Mother,Flubber,The Oxford Murders,Money Talks,Napoleon Dynamite,Madadayo,Demonic,The Constant Gardener,Little Children
Misconduct,Abduction,The Conspirator,Prom Night,Escape from Planet Earth,In the Valley of Elah,Kansas City,The Chronicles of Riddick,Nerve,No Escape,The Lady from Shanghai
Saw III,Saw IV,Saw II,What the #$*! Do We (K)now!?,Head Over Heels,Breakdown,Punisher: War Zone,Saw VI,The Adventures of Pinocchio,Another Happy Day,The Sting
Stripes,The Men Who Stare at Goats,Larry Crowne,One Man's Hero,Tammy,The Messenger,Ravenous,Judgment at Nuremberg,Fury,Home for the Holidays,Harsh Times
Bring It On,Glory Road,Traffic,Anchorman: The Legend of Ron Burgundy,The Mighty Macs,Anchorman 2: The Legend Continues,Tumbleweeds,Teeth,Three Kingdoms: Resurrection of the Dragon,Invictus,Bachelorette
The Purge: Election Year,Swing Vote,House of Wax,Wag the Dog,Night Watch,Seventh Son,The Vow,American Graffiti,The Man,Soldier,The Past Is a Grotesque Animal
She's All That,Not Another Teen Movie,Prom,Bandslam,Here Comes the Boom,The New Guy,Bachelorette,Trippin',Get Over It,Carrie,The DUFF
Saw IV,Saw VI,Saw II,Saw V,Saw III,Saw: The Final Chapter,Punisher: War Zone,Now You See Me,Miss Congeniality 2: Armed and Fabulous,The X Files: I Want to Believe,88 Minutes
White Noise,Oculus,The Heart of Me,Frequency,Singin' in the Rain,Kevin Hart: Laugh at My Pain,Hits,Awake,To Rome with Love,200 Cigarettes,The Spanish Apartment
Madea's Family Reunion,Madea Goes to Jail,Keeping Up with the Steins,Madea's Witness Protection,Serving Sara,Johnson Family Vacation,Peggy Sue Got Married,Max,Diary of a Mad Black Woman,Deadfall,A Madea Christmas
The Color of Money,Twins,The Hustler,Poolhall Junkies,Eddie the Eagle,The Broadway Melody,Gattaca,Red Riding: In the Year of Our Lord 1974,My Cousin Vinny,City By The Sea,Fruitvale Station
The Longest Day,The Statement,Enemy at the Gates,Flame & Citron,The Greatest Story Ever Told,Invasion U.S.A.,Thirteen Days,The Boys from Brazil,Kiss of the Dragon,Patton,Psycho Beach Party
The Mighty Ducks,Miracle,Sands of Iwo Jima,See Spot Run,We Are Marshall,Takers,Collateral Damage,The Replacements,Cool Runnings,Wall Street: Money Never Sleeps,"McFarland, USA"
The Grudge,Witchboard,Restoration,The Grudge 2,The Unborn,Out of Africa,The Looking Glass,Insidious: Chapter 2,An American Haunting,Enter the Void,Darkness Falls
Happy Gilmore,Tin Cup,Hoodwinked!,The Love Guru,Rabbit Hole,Caddyshack,Why Did I Get Married Too?,The Legend of Bagger Vance,This Is the End,Some Like It Hot,Free Style
Jeepers Creepers,Lara Croft Tomb Raider: The Cradle of Life,Listening,Pride and Glory,A Simple Plan,The Real Cancun,Girls Gone Dead,Spring Breakers,The Naked Ape,The Visit,The French Connection
Bill & Ted's Excellent Adventure,Ted 2,A Guy Named Joe,Bill & Ted's Bogus Journey,We're No Angels,Groundhog Day,Four Rooms,Kiss Kiss Bang Bang,The History Boys,Jack Reacher,Jindabyne
Oliver!,Oliver Twist,The Sound of Music,The Jungle Book 2,Nicholas Nickleby,The Specials,Scrooged,The Muppet Christmas Carol,Gods of Egypt,The Matrix,Bride & Prejudice
The Best Exotic Marigold Hotel,Phat Girlz,Hotel Transylvania 2,The Wendell Baker Story,The Second Best Exotic Marigold Hotel,Dirty Pretty Things,Bobby,Under the Tuscan Sun,Dil Jo Bhi Kahey...,Hotel for Dogs,Hotel Rwanda
Recess: School's Out,Saving Mr. Banks,Here Comes the Boom,Rugrats Go Wild,Fantasia,Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid: Rodrick Rules,Tuck Everlasting,Bridge to Terabithia,The DUFF,Get Over It
Mad Max Beyond Thunderdome,Heartbreakers,The Secret Life of Pets,Collateral,Rushmore,Blonde Ambition,A Good Year,The Adventures of Sharkboy and Lavagirl,Liar Liar,Stung,Batman Returns
Commando,The Matrix Reloaded,The Matrix,Stolen,Drive Angry,The Shipping News,Clockstoppers,American Ninja 2: The Confrontation,Dark Water,The Kite Runner,A Man Apart
The Boy,Nanny McPhee and the Big Bang,Nanny McPhee,My Cousin Vinny,Seed of Chucky,Resurrecting the Champ,Winter Passing,The SpongeBob SquarePants Movie,Child's Play,One Hour Photo,H.
Devil,Limbo,Special,Night of the Living Dead,Alleluia! The Devil's Carnival,Timeline,Detention of the Dead,Thir13en Ghosts,The Eye,The Specials,Speed
Friday After Next,Paul Blart: Mall Cop,Mallrats,Next Friday,Bad Santa,Last Vegas,50 First Dates,Black Christmas,Observe and Report,Christmas Eve,The Nutcracker: The Untold Story
Insidious: Chapter 3,Darkness,Stir of Echoes,Insidious: Chapter 2,Snow White: A Deadly Summer,Halloween,Grindhouse,An Education,The Poker House,The Sisterhood of Night,Mama
The Last Dragon,Kung Fu Jungle,DOA: Dead or Alive,Street Fighter,Lone Wolf McQuade,Here Comes the Boom,Bloodsport,Never Back Down,Finishing The Game,Blue Like Jazz,The Forbidden Kingdom
The Lawnmower Man,Hackers,WarGames,Charly,Speed 2: Cruise Control,Disclosure,The Social Network,The Thirteenth Floor,Metallica: Through the Never,Edward Scissorhands,The Signal
Nick and Norah's Infinite Playlist,Men of War,The Dilemma,Thank You for Smoking,The Corruptor,Weekend,Are We There Yet?,Youth in Revolt,Anderson's Cross,London,Play It to the Bone
Dogma,The Jimmy Show,Pandaemonium,Highlander: The Final Dimension,The Love Letter,The Inhabited Island,Indignation,Warlock,Joy Ride,The Reader,Jersey Boys
The Banger Sisters,Forty Shades of Blue,The Adventures of Ford Fairlane,Hop,School of Rock,The Living Wake,Fright Night,Crazy Heart,Walk the Line,I'm Not There.,The Boat That Rocked
Twilight Zone: The Movie,The Insider,Videodrome,Flightplan,Holy Man,Chronicle,Confessions of a Dangerous Mind,Dracula: Pages from a Virgin's Diary,A Beginner's Guide to Snuff,House on Haunted Hill,The Abyss
Road House,Clay Pigeons,Wanted,The Apparition,The Ballad of Cable Hogue,The Wash,Dante's Peak,London to Brighton,Face/Off,The Three Musketeers,Four Christmases
A Low Down Dirty Shame,Young Adult,Desperado,Ocean's Twelve,Jade,Full Frontal,The Jungle Book 2,The Circle,RockNRolla,"I, Robot",Hotel Transylvania 2
Swimfan,Fever Pitch,Goosebumps,21,Ride Along,The Apparition,Savages,Desire,Rabbit Hole,A Walk on the Moon,F.I.S.T.
Employee of the Month,Anchorman: The Legend of Ron Burgundy,The Spanish Prisoner,Cheaper by the Dozen 2,The Other End of the Line,Secretary,Daddy Day Camp,Where the Truth Lies,Black Knight,Trapeze,The Curse of the Jade Scorpion
Can't Hardly Wait,High School Musical 3: Senior Year,Project X,Weekend,Treachery,The Curse of Downers Grove,Last Vegas,A Guy Thing,Sanctuary: Quite a Conundrum,Half Baked,The Perfect Host
The Outsiders,Ghost Rider,West Side Story,The FP,24 7: Twenty Four Seven,The Postman Always Rings Twice,Jackass: The Movie,On the Waterfront,Chain Letter,War,The Egyptian
Pete's Dragon,Hard Candy,Pan's Labyrinth,Stolen Summer,Somewhere,Man on Fire,The Last Sin Eater,Mirrormask,Partition,Savva. Heart of the Warrior,Evolution
The Dead Zone,The Muppet Christmas Carol,Cloud Atlas,90 Minutes in Heaven,The Big Wedding,Mystic River,Room,The 5th Quarter,Soul Survivors,Ghost Rider,Hoop Dreams
Sinister 2,End of Watch,The Betrayed,GirlHouse,Ultraviolet,The Butler,The Skeleton Key,When the Lights Went Out,The Mudge Boy,Safe House,The Spiderwick Chronicles
Sparkle,Mozart's Sister,August Rush,The Specials,The Incredibly True Adventure of Two Girls In Love,Go for It!,Good Deeds,Brick Mansions,Jersey Girl,Child's Play,The Last Exorcism Part II
Valentine,Valentine's Day,My Bloody Valentine,Into the Grizzly Maze,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Chariots of Fire,No Man's Land: The Rise of Reeker,Lady in White,Girls Gone Dead,Watchmen,The World Is Not Enough
The Fourth Kind,Open Secret,The Prince,Crowsnest,Mumford,The X Files,The X Files: I Want to Believe,I Come with the Rain,Instinct,Alone in the Dark,All Good Things
A Prairie Home Companion,The Texas Chainsaw Massacre 2,The Night Listener,Walk the Line,Beavis and Butt-Head Do America,Crazy Heart,Jakob the Liar,Talk Radio,Madea Goes to Jail,Monster,The Bélier Family
Sugar Hill,Nine Queens,Laws of Attraction,City By The Sea,Keanu,The Funeral,Bound by Honor,Dead Man Down,A Beginner's Guide to Snuff,Tales from the Hood,Mutual Friends
Invasion U.S.A.,Lake of Fire,School Daze,Reds,Letters from Iwo Jima,Suicide Squad,Deterrence,The Campaign,"South Park: Bigger, Longer & Uncut",Transamerica,North Country
Roll Bounce,The Tourist,Brown Sugar,Cecil B. Demented,Redacted,You Got Served,My Lucky Star,8 Mile,The Horse Whisperer,Harrison Montgomery,Tupac: Resurrection
Rushmore,The Secret Life of Pets,Heartbreakers,Collateral,Liar Liar,Max Keeble's Big Move,A Good Year,The Adventures of Sharkboy and Lavagirl,Notes on a Scandal,Mad Max Beyond Thunderdome,The Losers
Skyline,Undiscovered,Predator 2,City of Ember,Water & Power,Navy Seals vs. Zombies,Volcano,U.F.O.,Crash,Escape from L.A.,Goal!: The Dream Begins
The Second Best Exotic Marigold Hotel,Dirty Pretty Things,The Best Exotic Marigold Hotel,Bobby,The Wendell Baker Story,Hotel Transylvania 2,Hotel for Dogs,Hotel Rwanda,The Grand Budapest Hotel,Maid in Manhattan,Albert Nobbs
Kit Kittredge: An American Girl,Bowfinger,A League of Their Own,Daylight,The Face of an Angel,Jade,The Betrayed,Dream House,Under the Same Moon,Lights Out,Paycheck
The Perfect Man,Lovely & Amazing,The Greatest Show on Earth,Gridiron Gang,Crazy Heart,Post Grad,The Country Doctor,A Cock and Bull Story,The Guilt Trip,The Giver,Brave New Girl
Mo' Better Blues,Insurgent,The Covenant,House Party 2,My Sister's Keeper,Blade Runner,Midnight Cabaret,Ishtar,Ip Man 3,Elf,Richard III
Kung Pow: Enter the Fist,Legend of a Rabbit,Bulletproof Monk,Kung Fu Hustle,2046,Kung Fu Panda 2,Kung Fu Panda,The Forbidden Kingdom,The Last Dragon,The Kentucky Fried Movie,Disaster Movie
Tremors,Hollywood Ending,The Second Mother,Anonymous,The Libertine,"Dancer, Texas Pop. 81",Clay Pigeons,Love Ranch,All Is Lost,Stung,Bled
Wrong Turn,The Bubble,The Darkest Hour,Out Cold,127 Hours,Joy Ride,Tales from the Crypt: Demon Knight,House of Wax,Journey to the Center of the Earth,Freedom,The Mothman Prophecies
The Long Riders,Bandits,No Man's Land: The Rise of Reeker,The Newton Boys,Closer to the Moon,American Heist,Inside Man,The Hadza:  Last of the First,High Heels and Low Lifes,Takers,Harley Davidson and the Marlboro Man
The Corruptor,The Dilemma,Thank You for Smoking,Youth in Revolt,Are We There Yet?,Men of War,Brokedown Palace,Adaptation.,Nick and Norah's Infinite Playlist,What Women Want,Romance & Cigarettes
Mud,White Squall,Y Tu Mamá También,Star Trek VI: The Undiscovered Country,Six Days Seven Nights,Sucker Punch,Legend of the Guardians: The Owls of Ga'Hoole,"Crouching Tiger, Hidden Dragon",It Follows,My Dog Skip,The Return
Reno 911!: Miami,The Blood of Heroes,Shin Godzilla,DodgeBall: A True Underdog Story,ZMD: Zombies of Mass Destruction,Epic,The Real Cancun,Girls Gone Dead,World Trade Center,Zoom,Spring Breakers
One Direction: This Is Us,The Guilt Trip,The Rose,Real Women Have Curves,Chasing Liberty,Hard to Be a God,Yogi Bear,Road Hard,The Pursuit of Happyness,I'm Not There.,Steve Jobs
"The Goods: Live Hard, Sell Hard",Dolphin Tale,Diary of a Wimpy Kid: Dog Days,Hands of Stone,1408,Secretariat,Fighting Tommy Riley,Flipped,The Scorpion King,The Fighter,Who's Your Caddy?
Hey Arnold! The Movie,Smoke Signals,The Wailing,Paranormal Activity 4,Crazy/Beautiful,Manito,Gran Torino,The Sound and the Shadow,Poltergeist,The Watch,Raising Cain
My Week with Marilyn,The Secret,Cecil B. Demented,The Rite,Inside Deep Throat,The Outrageous Sophie Tucker,An Everlasting Piece,Little Voice,Disaster Movie,Monty Python and the Holy Grail,The Beach
The Matador,Hearts in Atlantis,All the Pretty Horses,Terminator Salvation,Step Up 3D,Earth to Echo,Next Day Air,All About the Benjamins,Wolves,The Village,Oblivion
Love Jones,Nightcrawler,Harvard Man,Chain Letter,The Quiet,How to Fall in Love,An American in Hollywood,The Brothers McMullen,She's Out of My League,Bright Star,Kids
The Gift,"Run, Hide, Die",Rebecca,Please Give,Darling Companion,Winnie Mandela,I Heart Huckabees,Birth,Sweet Home Alabama,Double Jeopardy,Side Effects
End of the Spear,Knowing,Next Day Air,Taking Woodstock,Dark Blue,Johnson Family Vacation,Valkyrie,Max Payne,The Rookie,ATL,Fugly
Get Over It,The Battle of Shaker Heights,Juliet and Alfa Romeo,London to Brighton,Richard III,Shakespeare in Love,O,Grown Ups,Flashdance,The DUFF,Def Jam's How to Be a Player
Office Space,Made in Dagenham,Welcome to Collinwood,The Valley of Decision,Outside Bet,Waking Ned,Get Smart,Lesbian Vampire Killers,The Curse of the Jade Scorpion,Miss Congeniality,The Addams Family
Drop Dead Gorgeous,Little Miss Sunshine,"Happy, Texas",The Boxtrolls,Mumford,The Woman Chaser,The Lord of the Rings: The Fellowship of the Ring,Miss Congeniality 2: Armed and Fabulous,Miss Congeniality,Fight Valley,Beer League
Big Eyes,Love Ranch,Darling Companion,Neighbors,Eddie: The Sleepwalking Cannibal,Forty Shades of Blue,Girl with a Pearl Earring,Addicted,The Bridges of Madison County,The Iron Lady,Vicky Cristina Barcelona
Very Bad Things,Beastly,The Hit List,Saving Silverman,American Graffiti,The Five-Year Engagement,Dry Spell,Magic Mike XXL,The Business of Strangers,The Change-Up,American Sniper
Sleepover,Ponyo,The Dirties,Grosse Pointe Blank,Ramona and Beezus,The Man from Snowy River,Sex Drive,Step Up Revolution,Bachelorette,Flipper,I Know What You Did Last Summer
Body Double,The X Files: I Want to Believe,To Save A Life,The X Files,An American in Hollywood,Mulholland Drive,The Girl Next Door,Win a Date with Tad Hamilton!,Bucky Larson: Born to Be a Star,Double Jeopardy,Aliens
MacGruber,Alex Cross,Casino Jack,Rendition,Accidental Love,Under Siege 2: Dark Territory,Zoom,Observe and Report,Flame & Citron,Mission: Impossible III,AWOL-72
Dirty Pretty Things,The Second Best Exotic Marigold Hotel,Bobby,The Best Exotic Marigold Hotel,The Wendell Baker Story,Hotel Transylvania 2,Hotel Rwanda,Hotel for Dogs,The Legend of Tarzan,The Grand Budapest Hotel,The Beyond
Movie 43,The Ten,Stories of Our Lives,Harrison Montgomery,Adaptation.,Inside Deep Throat,Nine,Cecil B. Demented,Girl 6,My Lucky Star,"Me, Myself & Irene"
Over Her Dead Body,I Don't Know How She Does It,Captive,Just My Luck,50 First Dates,No Reservations,Kate & Leopold,Alpha and Omega,Four Christmases,Henry & Me,Forsaken
Seeking a Friend for the End of the World,Miss March,Superman III,The Slaughter Rule,The Best of Me,Karachi se Lahore,The Naked Ape,Road Trip,The Brown Bunny,Bachelorette,Joy Ride
Cedar Rapids,Footloose,Zambezia,Larry the Cable Guy: Health Inspector,City of Ghosts,Curious George,Babe: Pig in the City,Kingpin,Gentlemen Broncos,Saint John of Las Vegas,Outside Bet
American History X,Zoolander,Zoolander 2,12 Rounds,Ocean's Eleven,Last Action Hero,Unleashed,The Corruptor,Out of the Furnace,Penitentiary,Mean Machine
The Collection,The Legend of Zorro,Tales from the Crypt: Demon Knight,The Golden Child,Sheena,Green Zone,Ronin,The Ice Storm,Safe House,A Better Life,The Marine 4: Moving Target
Teacher's Pet,World War Z,Darling Companion,Stuart Little,Legend,Good Boy!,Keanu,Kiss Kiss Bang Bang,Interstellar,Dick,Red Dog
The Red Violin,The Visitors II: The Corridors of Time,Shallow Hal,Hocus Pocus,Da Sweet Blood of Jesus,Containment,Trade Of Innocents,Sphere,The House of Sand,The Color Purple,A LEGO Brickumentary
The Straight Story,Bad Grandpa,Hard Candy,"I Love You, Don't Touch Me!",The Next Best Thing,Archaeology of a Woman,Happy Christmas,Kicks,Boat Trip,Slow West,Partition
Deuces Wild,Midnight Cowboy,Highlander,The Adjustment Bureau,Laws of Attraction,Mutual Friends,Brooklyn,Please Give,Alvin and the Chipmunks: The Road Chip,West Side Story,Frances Ha
Bad Words,Akeelah and the Bee,Four Brothers,The Dirties,3 Ninjas Kick Back,There Be Dragons,Perrier’s Bounty,In the Company of Men,The Beastmaster,The Open Road,The Scorpion King
Heartbeeps,Never Again,The 40 Year Old Virgin,Bandits,Swept Away,Class of 1984,Toy Story 3,Factory Girl,Love Actually,The Importance of Being Earnest,Rabbit-Proof Fence
Black or White,The Truman Show,Up,Dragonfly,Kicking & Screaming,October Baby,300,"Yours, Mine and Ours",All the Pretty Horses,Gran Torino,Along Came Polly
On the Line,The Shaggy Dog,The Dog Lover,Win a Date with Tad Hamilton!,War Horse,The Taking of Pelham 1 2 3,Fido,The Final Destination,The Best Man,Purple Violets,Things We Lost in the Fire
Rescue Dawn,Firefox,We Were Soldiers,Journey from the Fall,Broken Arrow,Behind Enemy Lines,Born on the Fourth of July,Red Sky,Flight of the Intruder,Everest,The Deer Hunter
Danny Collins,Ghost World,The Switch,Almost Famous,Johnny Suede,Bad Grandpa,Bedazzled,The Other Side of Heaven,Bang Bang Baby,Hard Candy,If I Stay
"Jeff, Who Lives at Home",Breakdown,Kung Fu Panda,Room,The American,Ready to Rumble,The Divide,Tae Guk Gi: The Brotherhood of War,Running with Scissors,Beavis and Butt-Head Do America,Beer League
Atlas Shrugged Part II,Rush,Ice Age: Dawn of the Dinosaurs,Red Sonja,All the King's Men,The Wraith,About Schmidt,X-Men: Apocalypse,Megiddo: The Omega Code 2,1941,Atlas Shrugged Part III: Who is John Galt?
Romeo Is Bleeding,Money Train,The Lady from Shanghai,Femme Fatale,We Own the Night,Everyone Says I Love You,Eastern Promises,Machete,Chairman of the Board,London Has Fallen,Safe
The Limey,Drive Angry,Dragonfly,The Dead Girl,Dope,Welcome to the Rileys,Elektra,Water & Power,The Musketeer,Mulholland Drive,Journey to the Center of the Earth
Crash,Escape from L.A.,Water & Power,The Informers,The Ten,Volcano,Undiscovered,Friday,The Soloist,Mulholland Drive,City of Angels
The House of Mirth,The Adjustment Bureau,For Love of the Game,Anna and the King,Just My Luck,Larry Crowne,Headhunters,The Dictator,Addicted,Magnolia,In Too Deep
Malone,Something Wicked,The Untouchables,Mississippi Mermaid,Twilight,Charlie St. Cloud,Reds,Indiana Jones and the Temple of Doom,The Rocket: The Legend of Rocket Richard,The Crew,The Fugitive
Peaceful Warrior,Just My Luck,At First Sight,Serendipity,Escape from Tomorrow,The Age of Adaline,Kicking & Screaming,Hidden Away,The Express,Ira & Abby,High Plains Drifter
Bucky Larson: Born to Be a Star,Down to You,The Girl Next Door,Elmer Gantry,Indiana Jones and the Last Crusade,Two Lovers,Freddy Got Fingered,An American in Hollywood,Jimmy Neutron: Boy Genius,Windsor Drive,Young Adult
Bamboozled,Network,One to Another,Death to Smoochy,Edtv,The Married Woman,Hostel,The Social Network,Gentlemen Broncos,Wayne's World,Duplex
The Forest,Femme Fatale,The Quick and the Dead,Freeze Frame,The Help,Jack and Jill,She's the Man,Diary of the Dead,The Cold Light of Day,Event Horizon,Deconstructing Harry
Sphinx,Something's Gotta Give,The Adventures of Huck Finn,The Descendants,Quigley Down Under,Maleficent,Interview with the Vampire,The Devil's Advocate,N-Secure,40 Days and 40 Nights,The Lost Weekend
While We're Young,The Face of an Angel,A Walk on the Moon,The Family Stone,Boys and Girls,Gigli,51 Birch Street,The Jungle Book,Ira & Abby,The Prince of Egypt,Anything Else
A Better Life,Brick Mansions,Metropolis,Connie and Carla,The Kingdom,Defendor,City of Ember,Rize,The Lost City,24 7: Twenty Four Seven,Circumstance
Spider,The Curse of the Were-Rabbit,The In Crowd,Friday the 13th: A New Beginning,Sinbad: Legend of the Seven Seas,Paranormal Activity,Stardust,The Royal Tenenbaums,The Borrowers,Iguana,The Best Exotic Marigold Hotel
Gun Shy,From Paris with Love,2 Guns,Basic,Donnie Brasco,Crimson Tide,Rain Man,The Young Unknowns,I Love Your Work,Urbania,Hit & Run
Nicholas Nickleby,Oliver Twist,Transporter 2,Letters to God,Oliver!,Iron Man 3,The Salon,The Astronaut Farmer,The Cold Light of Day,Escobar: Paradise Lost,Bogus
The Iceman,Captain Phillips,The Fugitive,Seabiscuit,Chariots of Fire,The Rocket: The Legend of Rocket Richard,Zodiac,The Prince,Cinderella Man,Puss in Boots,Proud
